GeoName,Real GDP per capita 2022,log GDP per capita,log GDP per capita 2000,Real GDP per capita 2000,Ratio,Region,influence
Anhui,56675083269.01775,24.760600502576114,22.55305456684789,6232569763.791343,1.0978823480067852,China,0.01352575905249915
Beijing,143989519850.61813,25.693006355058753,24.083609834280757,28799095987.730854,1.066825385889086,China,0.12941976271958183
Chongqing,70223845935.04309,24.97495377598243,22.71448278779439,7324441826.563819,1.099516727248692,China,0.03189589632253223
Fujian,98418293745.22536,25.31249253577009,23.295749568789635,13098316779.580978,1.0865712846468085,China,0.04293706602710839
Gansu,34359694472.595455,24.26015004207286,22.389583265836134,5292641337.373767,1.0835462971341225,China,0.055889926825012044
Guangdong,76266983033.05856,25.057505955936072,23.410489384155643,14690830846.169266,1.0703537864909027,China,0.0036463543013424255
Guangxi,38936084684.04561,24.385187284430142,22.458227766657597,5668711990.194294,1.0858019402863741,China,0.021465947311257342
Guizhou,40764232903.67484,24.431070889361234,21.94106851768138,3379753171.8042326,1.1134859211470611,China,0.10510756717024101
Hainan,48997828856.73235,24.615041825029085,22.813985372406865,8090734640.869348,1.0789452795389518,China,0.009954328738033834
Hebei,43505683458.98085,24.496157420735972,22.853857648293545,8419848299.008793,1.0718609434659296,China,0.03572952223044116
Heilongjiang,39467250489.20308,24.39873706341955,22.908149409511882,8889613498.22458,1.0650680082123416,China,0.072847524986355
Henan,47127179728.18008,24.57611573582378,22.635221977985765,6766311721.407107,1.0857466191286156,China,0.0038792335603855545
Hubei,69320067325.79033,24.962000273025172,22.7419587616091,7528478211.662122,1.0976187466826184,China,0.024226638952978396
Hunan,56893181167.20717,24.76444133200829,22.662944825467836,6956517490.20475,1.092728307054733,China,0.003588480844895269
Inner Mongolia,74439048456.35959,25.03324648594612,22.802629609689916,7999377872.700757,1.0978227912498437,China,0.029914493641074274
Jiangsu,107625342673.05583,25.401921983643298,23.36680397097582,14062872015.206446,1.0870944103093998,China,0.07047376216982362
Jiangxi,53438617466.77013,24.701799495083602,22.470716337082894,5739950003.698496,1.099288475032672,China,0.014506016849396128
Jilin,42156858658.40066,24.464663228403527,22.794372469482898,7933597839.258218,1.0732764528243457,China,0.036069438901825346
Liaoning,52741941300.168045,24.688676826071028,23.296867962012442,13112974043.061766,1.0597423167066085,China,0.08950386925058146
Ningxia,53274222135.78537,24.698718413900714,22.64005347630548,6799082246.740903,1.0909302153261158,China,0.0005735937386997828
Qinghai,43844183387.4021,24.503907899016305,22.66520481749838,6972256943.112847,1.0811244855858693,China,0.015436685577053596
Shaanxi,62818211205.55381,24.863510855731942,22.512079575454067,5982351622.123778,1.1044519797647547,China,0.051283559317795456
Shandong,65630096105.38432,24.9073002097824,23.129600445866043,11093225524.791819,1.0768582132699178,China,0.001303289442334097
Shanghai,134106435364.1785,25.6218996153755,24.292835572914704,35501314926.13776,1.0547101238334908,China,0.00012756802566846125
Shanxi,57124171846.92231,24.768493188846456,22.698766788011497,7210230722.02044,1.0911823281046307,China,0.002119453860321182
Sichuan,51734904187.00313,24.669398520005924,22.561968709888376,6288376145.671089,1.0934062907903028,China,0.0016172656284040496
Tianjin,90094467215.87534,25.22412459252621,23.660560464400263,18864741061.495975,1.0660831399356956,China,0.0026344930018843676
Tibet,43608196807.64775,24.49851096980699,22.420272904399166,5457588728.815176,1.0926945927139025,China,0.0008253451093499548
Xinjiang,51883588539.3898,24.67226836399847,22.9370681557966,9150443232.734158,1.0756504796696675,China,0.011863537274721479
Yunnan,47339434525.82255,24.580609496005742,22.482201725708578,5806255604.0916,1.0933363998730434,China,0.00010610157150198393
Zhejiang,89369503785.79704,25.21604533996665,23.47817077029778,15719546427.17049,1.0740208675825569,China,0.0027991509795137312
