,GeoName,Year,Real GDP per capita,log GDP per capita
0,Beijing,2022,143989519850.61813,25.693006355058753
1,Tianjin,2022,90094467215.87534,25.22412459252621
2,Hebei,2022,43505683458.98085,24.496157420735972
3,Shanxi,2022,57124171846.92231,24.768493188846456
4,Inner Mongolia,2022,74439048456.35959,25.03324648594612
5,Liaoning,2022,52741941300.168045,24.688676826071028
6,Jilin,2022,42156858658.40066,24.464663228403527
7,Heilongjiang,2022,39467250489.20308,24.39873706341955
8,Shanghai,2022,134106435364.1785,25.6218996153755
9,Jiangsu,2022,107625342673.05583,25.401921983643298
10,Zhejiang,2022,89369503785.79704,25.21604533996665
11,Anhui,2022,56675083269.01775,24.760600502576114
12,Fujian,2022,98418293745.22536,25.31249253577009
13,Jiangxi,2022,53438617466.77013,24.701799495083602
14,Shandong,2022,65630096105.38432,24.9073002097824
15,Henan,2022,47127179728.18008,24.57611573582378
16,Hubei,2022,69320067325.79033,24.962000273025172
17,Hunan,2022,56893181167.20717,24.76444133200829
18,Guangdong,2022,76266983033.05856,25.057505955936072
19,Guangxi,2022,38936084684.04561,24.385187284430142
20,Hainan,2022,48997828856.73235,24.615041825029085
21,Chongqing,2022,70223845935.04309,24.97495377598243
22,Sichuan,2022,51734904187.00313,24.669398520005924
23,Guizhou,2022,40764232903.67484,24.431070889361234
24,Yunnan,2022,47339434525.82255,24.580609496005742
25,Tibet,2022,43608196807.64775,24.49851096980699
26,Shaanxi,2022,62818211205.55381,24.863510855731942
27,Gansu,2022,34359694472.595455,24.26015004207286
28,Qinghai,2022,43844183387.4021,24.503907899016305
29,Ningxia,2022,53274222135.78537,24.698718413900714
30,Xinjiang,2022,51883588539.3898,24.67226836399847
31,Beijing,2021,144434750732.20508,25.69609369049232
32,Tianjin,2021,87513731282.65831,25.195061546942586
33,Hebei,2021,42102126525.65804,24.463364087657386
34,Shanxi,2021,51951109966.48546,24.673568920317013
35,Inner Mongolia,2021,69230356710.0621,24.960705284158998
36,Liaoning,2021,50837663888.91504,24.651903331954543
37,Jilin,2021,42887394737.93778,24.4818437907517
38,Heilongjiang,2021,37149840226.25752,24.338225307327242
39,Shanghai,2021,134030775144.2345,25.621335275783775
40,Jiangsu,2021,105319593252.93391,25.38026530955542
41,Zhejiang,2021,87746059868.55016,25.197712796501367
42,Anhui,2021,54724277052.418015,24.725573269713816
43,Fujian,2021,93899886126.2659,25.26549501044707
44,Jiangxi,2021,50739222475.91454,24.649965067309058
45,Shandong,2021,63258848979.92191,24.870500859589175
46,Henan,2021,45123751004.99,24.53267457465662
47,Hubei,2021,66541188707.28426,24.921086971929086
