Year,log GDP per capita,Region
2000,0.8273904698897142,Europe
2001,0.8111903456451155,Europe
2002,0.7898761065004459,Europe
2003,0.7680512870531616,Europe
2004,0.7501037896652486,Europe
2005,0.7291873220811426,Europe
2006,0.7106903944477869,Europe
2007,0.6930519586568644,Europe
2008,0.6719564458129992,Europe
2009,0.6791690773704493,Europe
2010,0.6826355178967579,Europe
2011,0.668639239123049,Europe
2012,0.656739399189035,Europe
2013,0.6515033203566488,Europe
2014,0.6447252127436701,Europe
2015,0.6429440388050561,Europe
2016,0.63574873183162,Europe
2017,0.6242588261599117,Europe
2018,0.6114743057317392,Europe
2019,0.6019651141995818,Europe
2020,0.6082898306732755,Europe
2021,0.604436257432967,Europe
2022,0.5925606565341898,Europe
