,GeoFips,GeoName,Year,Real GDP,Population,state,code,Real GDP per capita,log GDP per capita
0,01000,Alabama,1997,144501200000.0,4367935.0,Alabama,AL,33082.268852444,10.40675273361891
1,02000,Alaska,1997,42211300000.0,612968.0,Alaska,AK,68863.79060570862,11.139885783383653
2,04000,Arizona,1997,168408800000.0,4736990.0,Arizona,AZ,35551.8588808505,10.478747723058461
3,05000,Arkansas,1997,82571300000.0,2601090.0,Arkansas,AR,31744.883875605996,10.365486853560562
4,06000,California,1997,1378276500000.0,32486010.0,California,CA,42426.7707853319,10.655534828425994
5,08000,Colorado,1997,184185300000.0,4018293.0,Colorado,CO,45836.70230120103,10.732840409472788
6,09000,Connecticut,1997,190518900000.0,3349348.0,Connecticut,CT,56882.3842729988,10.948740981197036
7,10000,Delaware,1997,45980100000.0,751487.0,Delaware,DE,61185.48956934718,11.021665341848037
8,11000,District of Columbia,1997,79827700000.0,567736.0,District of Columbia,DC,140607.07793763297,11.853724598042087
9,12000,Florida,1997,559805300000.0,15186304.0,Florida,FL,36862.51111527861,10.514950354656985
10,13000,Georgia,1997,328118700000.0,7685099.0,Georgia,GA,42695.44217972989,10.661847452997993
11,15000,Hawaii,1997,55804200000.0,1211640.0,Hawaii,HI,46056.74952956324,10.737629600531958
12,16000,Idaho,1997,36997400000.0,1228520.0,Idaho,ID,30115.423436329893,10.312792726024162
13,17000,Illinois,1997,576730200000.0,12185715.0,Illinois,IL,47328.384095639856,10.764865481088647
14,18000,Indiana,1997,231713900000.0,5955267.0,Indiana,IN,38909.06990400262,10.568982661915017
15,19000,Iowa,1997,113289800000.0,2891119.0,Iowa,IA,39185.45033947063,10.576060792070423
16,20000,Kansas,1997,104575000000.0,2635292.0,Kansas,KS,39682.50956630233,10.588665804517428
17,21000,Kentucky,1997,146522800000.0,3952747.0,Kentucky,KY,37068.60064658831,10.520525546486715
18,22000,Louisiana,1997,200862900000.0,4421071.0,Louisiana,LA,45433.08623634409,10.723995890329915
19,23000,Maine,1997,42942200000.0,1254774.0,Maine,ME,34223.05530717086,10.440654827714553
20,24000,Maryland,1997,221211600000.0,5157328.0,Maryland,MD,42892.67620752451,10.666456372568849
21,25000,Massachusetts,1997,302724100000.0,6226058.0,Massachusetts,MA,48622.113703405914,10.791833720874264
22,26000,Michigan,1997,396974500000.0,9809051.0,Michigan,MI,40470.22489739324,10.608321794992925
23,27000,Minnesota,1997,212378400000.0,4763390.0,Minnesota,MN,44585.557764533245,10.705165268629413
24,28000,Mississippi,1997,83153100000.0,2777004.0,Mississippi,MS,29943.457049395678,10.307066117219623
25,29000,Missouri,1997,227796800000.0,5481193.0,Missouri,MO,41559.71154454879,10.634886504490058
26,30000,Montana,1997,29047000000.0,889865.0,Montana,MT,32642.029970838274,10.393355999878171
27,31000,Nebraska,1997,70412500000.0,1686418.0,Nebraska,NE,41752.697136771545,10.639519330270737
28,32000,Nevada,1997,89895100000.0,1764104.0,Nevada,NV,50957.936720284066,10.83875580120589
29,33000,New Hampshire,1997,48359700000.0,1189425.0,New Hampshire,NH,40658.049057317614,10.612952104164904
30,34000,New Jersey,1997,426002800000.0,8218808.0,New Jersey,NJ,51832.67451922469,10.855776011612502
31,35000,New Mexico,1997,67285200000.0,1774839.0,New Mexico,NM,37910.593580600835,10.54298586601378
32,36000,New York,1997,977797900000.0,18656546.0,New York,NY,52410.44617797957,10.866861204982252
33,37000,North Carolina,1997,315648200000.0,7656825.0,North Carolina,NC,41224.42396162901,10.6267861742951
34,38000,North Dakota,1997,22413100000.0,649716.0,North Dakota,ND,34496.764740286526,10.448620822978372
35,39000,Ohio,1997,471450900000.0,11277357.0,Ohio,OH,41805.08784106063,10.64077332979139
36,40000,Oklahoma,1997,115088500000.0,3372917.0,Oklahoma,OK,34121.35549140403,10.43767872799717
37,41000,Oregon,1997,118360300000.0,3304310.0,Oregon,OR,35819.974518129355,10.486260964227776
38,42000,Pennsylvania,1997,496658900000.0,12227814.0,Pennsylvania,PA,40617.14546851956,10.611945558625639
39,44000,Rhode Island,1997,40145800000.0,1025353.0,Rhode Island,RI,39153.150183400256,10.575236162636527
40,45000,South Carolina,1997,134607900000.0,3859696.0,South Carolina,SC,34875.25960593788,10.459532962993821
41,46000,South Dakota,1997,24951200000.0,744223.0,South Dakota,SD,33526.510199227916,10.420091754092132
42,47000,Tennessee,1997,210637300000.0,5499233.0,Tennessee,TN,38303.03244106951,10.553284348041519
43,48000,Texas,1997,870724400000.0,19740317.0,Texas,TX,44108.9370550635,10.694417695213156
44,49000,Utah,1997,80658900000.0,2119784.0,Utah,UT,38050.52778962385,10.54667023414301
45,50000,Vermont,1997,20049400000.0,597239.0,Vermont,VT,33570.145285220824,10.421392417793754
