Year,log GDP per capita,Region
1997,0.2481823308745153,USA
1998,0.2463417718004819,USA
1999,0.246761480974732,USA
2000,0.24533449009565902,USA
2001,0.25147024086946823,USA
2002,0.24720895363621542,USA
2003,0.243702286039339,USA
2004,0.24529553551680902,USA
2005,0.2434765655804534,USA
2006,0.246279074010787,USA
2007,0.25202354373224867,USA
2008,0.25641567865585735,USA
2009,0.2658411105063164,USA
2010,0.26221544149825654,USA
2011,0.2602119306426134,USA
2012,0.2624874162764167,USA
2013,0.25531083299282636,USA
2014,0.2573678809153131,USA
2015,0.25701459528481757,USA
2016,0.25272080154264476,USA
2017,0.250790149045843,USA
2018,0.252219917135603,USA
2019,0.2523174255251637,USA
2020,0.25212545936784964,USA
2021,0.25223124616936965,USA
2022,0.2522022005495278,USA
