GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Anhui,6540906659.984341,7462679287.015202,8440739647.911647,9531562558.089767,10794928815.938745,12339766519.386219,14220531316.095268,16424797567.98407,18968004722.7658,21853574452.47619,24858938073.508446,27772634989.859596,30542592695.583485,33219608392.378525,35943768045.246796,38889894131.86229,42059829278.75754,45263789976.8193,48279103256.80248,51138540255.17815,54036482152.89783,56898652908.32788
Beijing,30223884817.559086,35510111521.98236,40961268389.01248,46624710480.47044,52425078721.00844,58266218821.203705,63859784441.628555,68740182478.41992,73016553683.86385,77152576355.29916,81128178600.64655,85107996310.97879,89343732558.84103,94075079568.72784,99526447799.06781,105786371889.55623,112627032118.83698,119600288711.64192,126329803125.56343,132871151527.08406,139565372932.08273,145946480614.81064
Chongqing,8063216379.491278,9422143643.825647,10838233005.735676,12369376220.969803,14084604141.031738,16111095870.22145,18538777403.0808,21360125866.02604,24554697532.469788,28153373330.860504,31933876824.451485,35662831843.55836,39294915810.72503,42881166653.21065,46462152690.22045,50060857637.1324,53604873356.323555,57024008451.49498,60398719074.53925,63813799175.50202,67341459463.30292,70780116466.12993
Fujian,13068600689.6615,14797499681.022808,16614388918.07742,18638124425.370575,21004916663.388832,23878578707.967598,27287189732.17869,31083254328.073532,35233864142.35655,39688360899.800415,44100590942.40077,48297942868.18521,52334217846.90426,56393897328.99999,60721354828.54912,65580021553.28447,70958695603.36261,76511138964.40219,81894928186.82576,87179520514.33018,92706230018.44324,98258505622.2348
Gansu,5320528174.517768,6114919264.03069,6971253192.21388,7931391779.328646,9007876540.562817,10210398735.37504,11500948128.808369,12824994256.009087,14225182647.103268,15805024258.135529,17466948981.61398,19051942828.74504,20453645412.77037,21627519524.24987,22627376231.382057,23638212542.267616,24790181429.293633,26147804800.03411,27702716876.5876,29483422571.045944,31535872116.51316,33694717911.720387
Guangdong,15093148502.783104,17957103082.251427,20929509571.075714,24064764650.492775,27384282115.27813,30850296999.94447,34321527718.0875,37575784512.02051,40588826676.07221,43521658161.20808,46202892410.22203,48644717560.11471,51075747851.140076,53672993480.504,56520901124.84252,59561071552.1301,62651604122.39482,65579045751.186264,68299785249.535675,70959834777.01022,73782984654.59926,76559355015.06696
Guangxi,5892128762.231654,6726347559.072694,7606944278.796976,8584689298.511646,9693706344.205477,10988021198.790806,12470233844.394764,14094652822.715837,15888193817.860395,17897313102.620277,19930217058.929665,21822741972.303497,23581133969.177338,25260125340.552303,26925548476.253838,28614709166.46329,30326743627.643505,32018439693.82961,33674134227.645126,35369864420.70674,37193638821.693146,39006195493.2128
Guizhou,3366193467.6339107,3937908396.246102,4561983327.238983,5290944506.8916025,6172148704.0014515,7226077295.723602,8454698343.156012,9825969021.963223,11361333239.06546,13157812716.10884,15202362736.489002,17437808549.02418,19814026479.822807,22299426586.474335,24886646152.863014,27545396130.293167,30223893501.85679,32784976264.529007,35135479577.71519,37300666713.14844,39371973096.587776,41349617883.28887
Hainan,8450421050.632619,9461461563.68525,10498246682.728287,11610308709.398115,12868093108.114212,14377241167.528786,16161976013.822706,18183763211.00212,20439136652.1673,22963188207.69819,25517224683.627968,27920122772.75811,30132546102.581238,32176794716.39238,34094427183.699165,35937858952.93404,37761281082.019745,39618944263.76748,41587849455.01376,43783441577.29239,46284735199.76271,48815242620.09501
Hebei,8697278968.27457,10123547862.648281,11627030350.440157,13250941609.062046,15006891911.332579,16918686373.687822,18958353320.46335,21015644554.12731,23049317346.149258,25095198304.938362,26969732543.519943,28523413446.129177,29779297152.195076,30894826030.017586,32039193023.356148,33298535199.73017,34657051597.30735,36091750109.68455,37639777417.98963,39348752068.44866,41274444523.5055,43242281320.68903
Heilongjiang,9203973800.362242,10375846219.030485,11613475274.473763,12947418205.824026,14370553684.806099,15869974114.734306,17421191664.305676,18991698662.21994,20615315692.80024,22445274954.094532,24361756853.302757,26124737804.96972,27542324469.266796,28543891992.93751,29250113800.393166,29941966363.978516,30797789975.256775,31889228958.11302,33237229982.789803,34849819410.32734,36751040977.924255,38764674675.6842
Henan,6836193919.809669,8160012104.939995,9583305067.809473,11189911571.15694,12995623416.072866,14994778576.123095,17138937576.041094,19299091446.655,21439895863.02958,23650844159.964806,25816377534.17593,27874242116.78384,29858987875.865494,31853342212.283264,33919543175.92478,36095862785.31328,38328792876.700676,40433427164.17557,42250480639.22423,43828195604.88755,45402671512.36241,46997841531.33284
Hubei,7986998259.592509,9142236929.606377,10384369679.257359,11811427371.61655,13526995809.554836,15642345793.278225,18209528127.76541,21160523936.515278,24459559479.55577,28099088938.11239,31836225136.681732,35469666669.66242,38954826506.5594,42325570256.04881,45649805739.7349,49040055701.7236,52488410552.58496,55821119931.403694,58875332764.51496,61844766572.75558,65223239279.59421,68700795481.51663
Hunan,7163963213.379397,8272838929.574975,9437228850.586372,10723317754.778927,12198631147.169127,13966023160.544165,16063962225.812006,18418601054.68167,20994861974.341858,23810400916.03221,26707549335.09768,29559774540.318066,32329952060.60161,35039498693.090164,37715921092.71307,40357973406.90428,42988325518.22827,45593317211.786064,48214532562.96809,50893305268.25799,53737135396.02934,56624029750.47747
Inner Mongolia,8027136441.272171,10081350949.569563,12252278191.376204,14617112800.07903,17223341506.768192,20102650909.713272,23224743676.912277,26435371292.04074,29626978687.069183,32782207224.04163,35766590315.071045,38522428216.42374,41068760673.348564,43498143228.25569,45928214853.8486,48466743687.84918,51216755892.765976,54274814773.418915,57785975584.927734,62009373902.761826,67154847469.88199,72595317922.43076
Jiangsu,14295237979.97714,17230943550.55271,20340062724.9433,23762599723.020752,27583257974.21815,31828590245.449127,36470410880.231895,41348211889.05284,46387222008.1494,51610030811.99056,56672458273.741486,61418639436.64882,65964375279.41979,70451776559.40762,75003035816.26846,79617503816.55878,84254379071.25876,88749547525.8909,93140509208.10014,97726500539.56503,102710715605.44824,107685332326.74168
Jiangxi,5781753296.302146,6868902966.505253,8016456109.8010025,9291566959.543974,10736364228.194086,12402876020.636051,14291415334.688599,16357410661.467522,18611774111.626442,21111848934.78419,23682064282.699364,26144793477.565094,28476701609.574554,30710293702.52573,32938250877.460007,35281046029.08407,37798071961.09525,40490025008.91393,43311984865.20405,46335641950.90071,49658415384.587715,53044282424.96375
Jilin,8032988858.297484,8841892066.484304,9736211768.202961,10836334438.275517,12227921944.820766,13985844496.314827,16096010110.964085,18438920819.855988,20972433838.739414,23682914171.546295,26381594688.01026,28829641990.41755,30866787302.835842,32468975821.953873,33740507569.3513,34897627403.71242,36058245826.68662,37264896741.84269,38566599534.00581,39975405562.857506,41422195034.521835,42770760251.3192
Liaoning,13604062029.709503,15083899330.129074,16644724257.490322,18396821159.483776,20454989042.78425,22859089472.27118,25482559612.100582,28058782932.228287,30469291702.594025,32823254523.981018,35092513324.75747,37099269309.454605,38731986189.42572,39976296324.16876,40971527445.86866,41983761255.34689,43235975116.06544,44724474343.96427,46357576321.27455,48139427562.93713,50174351262.74777,52282746181.539055
Ningxia,7197919434.002276,8312610801.6509285,9502556366.7555,10842172145.191135,12431687556.062582,14397894410.95454,16747133053.488302,19322463401.456505,21953893544.581673,24623358649.15329,27084118754.327774,29147136515.397034,30829670996.179707,32297421783.88412,33797590902.09747,35565837050.37966,37677128411.34095,40021437101.49688,42601805388.777306,45532772194.28109,48869445884.99522,52353444066.75432
Qinghai,7529298102.878661,8499271987.069294,9524507171.304907,10678129371.294823,12016197850.349045,13572905835.780384,15283398523.668903,17013150576.10555,18708624625.82625,20525784608.59003,22402667640.02375,24260065298.379845,26088706147.23551,27923364514.97486,29848622791.887463,31893328547.31742,33966450717.345688,35983194442.51291,37876708792.69438,39727546148.77868,41700532228.254425,43697058318.7194
Shaanxi,6022811912.440978,7330685808.661647,8742040615.277203,10368630235.11688,12291493428.758682,14561461636.042122,17177529660.1884,20081311508.398285,23227391454.543205,26664707918.35087,30180604686.822083,33518152280.021526,36506112926.02204,39125255273.7024,41506253270.65263,43937463789.27634,46565870555.432205,49294216536.60969,52048847724.837776,54971525303.0848,58316077017.983665,61820295280.8372
Shandong,11101731964.004576,12991481939.061378,15029936429.809467,17376728999.731968,20053174243.851086,23021853998.600212,26163915552.503036,29308750436.98881,32378827411.56631,35469716445.82611,38501495123.508194,41414926397.02035,44174305427.58049,46736334918.00615,49097742642.29744,51220018695.74872,53168303849.67373,55028931189.77475,56989257583.90253,59268757644.55336,61998617298.89729,64852838215.60579
Shanghai,35441357262.50239,40343577165.225784,45442689260.10665,50748200981.525024,56115791446.35805,61460248164.52585,66499383912.63357,70801405678.78691,74421976132.87431,77748096599.6984,80791019902.80193,83825663409.77591,87264563813.2687,91366277742.23935,96274045697.82416,101992625584.581,108138160112.5678,114181068127.76685,119780472920.23141,125125319277.04262,130527631691.79654,135678425659.32674
Shanxi,7132790390.561777,8886718117.171722,10707532695.166351,12617237150.37642,14631668806.41341,16788900455.248322,19059796199.82891,21282179962.240227,23378928253.968117,25495256249.820007,27367330763.968445,28721517610.614777,29549364054.348946,30123391123.718857,30859632060.47673,32200964091.35174,34378264671.36853,37197116987.54534,40638553106.60838,44885624677.543015,49999591330.50095,55390884033.59178
Sichuan,6373905303.965043,7283737757.921537,8264061347.795887,9389960574.345083,10722267728.584736,12337901152.465176,14246902928.131672,16389726755.017517,18754259328.42871,21364721379.66844,24048827507.491333,26612736889.905052,28986078355.000683,31232372970.008163,33500021167.78842,35987778405.95171,38729254977.53761,41529867414.14604,44201325695.17368,46784716912.12408,49420668128.20772,52012244839.837814
Tianjin,19502048891.572784,22790036293.969364,26228397380.11531,29855129021.939854,33654332166.673473,37556461094.12625,41585609701.29135,45656389977.92859,49636235931.56237,53640873944.448524,57367757449.79295,60580280049.68977,63236950302.979256,65482289090.67851,67620202733.799545,70074134717.90263,72994080391.40012,76161534850.64307,79317078315.8275,82524676324.0394,86084867387.31143,89707045866.48581
Tibet,6235262500.389482,7213518965.140934,8210844168.909975,9256048592.21391,10373567611.494236,11604961508.713415,12935202891.570726,14321373627.945648,15777146392.156267,17374669757.08937,19120333832.886753,20994021568.555916,22976629166.509117,25041212506.78412,27209178726.146923,29538418843.362236,32045403014.390816,34645811790.62643,37219235481.31461,39733540695.85647,42136399703.13424,44410836378.996254
Xinjiang,9319984713.758602,10605404610.121267,11987019380.297699,13488859959.69367,15119224820.584932,16872483113.678064,18702002554.316425,20573038348.203156,22561513393.165962,24866281416.92006,27259279604.274124,29485840113.32962,31405579959.46071,32978683806.241806,34322140003.953537,35791224135.69947,37639862618.21527,39778412632.62751,42080082811.751854,44664891802.74781,47699874651.5338,50893303160.881165
Yunnan,5986888902.057657,6784195105.127382,7621609979.854885,8542199191.846073,9574981232.150234,10787614758.237247,12181693295.021347,13710821021.417986,15409097138.215054,17372805516.05356,19550327763.46012,21808956606.39279,24038056256.20603,26200760360.81974,28399276297.81566,30794451630.479355,33437050915.058144,36218060839.98956,38997406630.608604,41737013558.749535,44543560949.25812,47348636089.5675
Zhejiang,16645744444.8321,19923947557.991013,23261862372.358067,26665998641.458633,30206850753.99079,33995736225.289055,37951214425.37901,41854679341.1204,45701099703.95233,49583469830.734665,53144984885.69492,56273084860.1431,59130456186.44833,61951127831.90181,64961201959.31174,68225729596.01451,71692603684.5152,75181636338.8833,78582302797.18741,82039849838.04655,85774396782.2137,89489710631.12791
