GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
AT,31626.025106641326,32103.675658822438,32609.162193940945,33172.932589522636,33782.368772062764,34390.78345373294,34906.310343174744,35240.15779643245,35414.52451464241,35573.183951511775,35734.385638404936,35851.869674444395,35934.67445660786,36037.93923396195,36201.655342516024,36432.54384084555,36693.86093272339,36916.45580738713,37051.35990483858,37150.97173589767,37425.872226610154,37819.28682527814
BE,29991.818655806797,30526.59261633513,31080.275591934376,31665.92177906183,32232.541279465273,32724.99671024258,33082.94408377718,33258.03993881369,33310.26976069235,33360.73264454325,33432.88452378572,33545.26410871215,33720.74858580924,33973.37288416973,34280.25215915691,34601.9619046669,34911.837269130716,35186.09949623264,35423.07586659603,35672.91774144709,36095.68434335664,36591.76805626396
BG,3174.239681854121,3421.44336217843,3674.3686934060806,3938.5063884918627,4210.648169445598,4476.624736118407,4715.763081250113,4907.930239801593,5046.47115373371,5158.661926639073,5259.5432775128975,5351.57001708815,5446.87003169573,5563.720004932436,5711.297415323753,5883.784540605978,6073.556072063601,6277.181174484158,6498.660041125009,6750.443877326051,7065.998281847184,7422.717833076134
CY,20626.779866705692,21244.718988914068,21874.373332449533,22525.103080412926,23149.56868271316,23664.414096393077,23970.3522892614,23980.189973703946,23678.67749582474,23162.534805935167,22507.89345501468,21838.4794250931,21351.955745397896,21246.228737141642,21574.89180227326,22241.74174479901,23077.79268036141,23940.980045435135,24751.99244763705,25520.961687314404,26379.300773192514,27271.068844026402
CZ,11631.433355801,12146.561885264042,12693.461077798926,13286.851694835243,13899.300725354755,14460.678887165584,14886.56878201909,15127.64438972013,15216.728684950522,15268.62154003686,15331.446237713664,15437.546614309558,15641.43510811897,15980.416699146812,16441.966750098956,16963.893951817794,17483.692315129876,17922.232818570887,18238.19567025575,18434.703827328056,18607.968939690476,18768.650044873186
DE,29549.281571915017,29731.96260024367,29965.95857706592,30310.270434836377,30770.145733679106,31302.788764144352,31793.380499393665,32166.655710325525,32466.80828793542,32860.16720956676,33311.972126493325,33744.23593645821,34158.65599696555,34583.4519156862,35013.45834077653,35436.55761388314,35808.07874212834,36064.70151441314,36197.81312089803,36258.84850943742,36382.79252854205,36532.01426521266
DK,42156.46389213325,42717.105947149896,43329.51377942522,44013.91621467394,44673.8198739027,45157.70478377034,45299.039791111245,45085.260977356535,44676.75805735954,44365.87898959657,44239.09044336641,44305.11844963241,44577.634568419264,45039.09140781048,45665.920044942526,46407.49693170218,47186.65131278537,47944.21292381567,48693.54729037102,49503.34587021887,50478.53255466734,51473.895895789494
EE,7979.025185613037,8778.46546174609,9586.061708181056,10387.815421340478,11131.958224337923,11714.27127287248,12020.622406749171,12019.396062113421,11872.477090030781,11833.046971628664,11977.890853629571,12260.106367295419,12625.128607307377,13042.375649579357,13490.044992856097,13961.954031949641,14439.112962815034,14876.61933629539,15252.11262918341,15574.17322446454,15902.243484454897,16215.098055556253
EL,18113.51263007925,18965.405459089707,19807.136267287486,20584.478160405553,21230.862441410874,21693.403907605523,21840.67936566582,21564.7209970512,20863.052284714573,19862.04135208066,18765.967957019857,17825.185241069663,17188.291472644374,16862.25528158716,16764.7186621181,16808.16276340332,16926.71374867005,17067.591739000967,17207.342655691562,17380.497741797175,17713.2134154625,18134.766456144676
ES,22348.482319653383,22692.069865211182,23040.70023962445,23389.48509331484,23706.22403836412,23929.99907192366,23982.896345006586,23823.802157118233,23499.139392562873,23134.72259050588,22810.103987302584,22604.08020482736,22609.831226986178,22862.284204912616,23298.793293422495,23782.74717454562,24184.127603364177,24407.67678703305,24432.67651616887,24353.98029546299,24424.41338701975,24601.76420566941
FI,31008.63507258438,31853.857105987274,32736.09752777667,33666.15758938111,34577.06293778485,35365.65400567119,35876.44115567782,35973.830109535076,35737.1960040648,35464.50115856325,35201.35653167637,34931.85289667995,34727.86398178156,34678.567051719976,34843.081134148975,35207.15452844712,35664.842552529124,36086.65579975814,36417.53005509268,36670.13617552997,36945.54020925244,37235.98641635768
FR,28958.94617070114,29268.113353636687,29601.44914926005,29973.824033677192,30350.276619112425,30685.633672401735,30918.67770132309,31017.689826070186,31037.562734625022,31095.95874279839,31203.730128861083,31329.175772236158,31476.797731728882,31652.82994258673,31856.01870298059,32073.457520267464,32280.076909327454,32427.85418179785,32499.15434382356,32543.885732461855,32754.491989758255,33044.395040564355
HR,8546.35483111313,9039.11406671426,9526.05652933729,9993.507195329836,10423.621996345548,10781.995712785303,11016.043605634677,11080.861621833603,10989.778731420465,10840.786044940276,10699.910075910782,10607.451570659283,10605.325663367348,10716.655236911072,10947.711068027771,11271.699095548998,11646.191487421853,12039.688556305598,12451.699976871994,12924.985254783922,13559.631899404734,14270.92977933237
HU,8310.811480354123,8732.987337938252,9147.03335866572,9536.34173160975,9867.179308457044,10101.598263836746,10213.302083024866,10215.738529083537,10152.227031790906,10114.768856271763,10143.808942564356,10255.029213703448,10469.902161913506,10783.495605226442,11168.49301576802,11600.218568827766,12062.237557172317,12526.880302555866,12962.919117585037,13371.625466457528,13821.003754557432,14292.398312635636
IE,34792.73673400759,36002.20803102078,37168.04145059276,38235.04583031899,39025.143375700085,39354.648959385624,39115.85451391316,38368.30813831855,37519.421209411536,37012.07580187092,37090.84659686967,37953.576147281434,39810.77155048066,42699.567720276806,46287.37612240242,49923.277387345806,53593.5719660108,57341.635927325915,61362.27382565795,65926.82846700159,71056.67884524626,76340.11139956117
IT,28117.40156827154,28194.11146922634,28277.6371192577,28372.536432365952,28446.945383470204,28449.394118310993,28304.90152127362,27976.98341781363,27530.77138998277,27102.27967298263,26704.199079617574,26340.85567501474,26086.303671562437,25995.260373646626,26059.0344982033,26220.093102384984,26405.05772363168,26558.13500300177,26686.72234577258,26881.715556741172,27325.734865381,27893.926012086922
LT,5549.027435756881,6172.35365588095,6807.035486283919,7444.851952303736,8066.856401472918,8624.525868955385,9050.64036567939,9286.85576354032,9388.325475924863,9541.90599405326,9825.921732997776,10220.792148782159,10688.389220150502,11198.458182041759,11737.001994170809,12304.670307125853,12897.792452427746,13489.550512457217,14050.279777206546,14572.787454674874,15089.835988508301,15592.14182960494
LU,73675.21611010263,75435.79739851473,77237.14410931041,79130.2940811109,81049.94209504777,82855.53587927483,84137.73242673822,84487.9029897001,84134.58163214452,83601.0379397035,83072.20843686606,82724.86357776861,82642.62046664901,82783.51803530211,83066.77594085902,83380.65095480248,83573.91569807775,83714.43863886164,83941.46173363857,84342.31675667515,85024.90160485581,85727.14349399696
LV,5544.11476858534,6230.452012932483,6933.730894305971,7653.220727662954,8350.793884871624,8938.207421374096,9304.691371033032,9394.162580291228,9306.5872762262,9246.86567306887,9332.444020853975,9569.270061925225,9900.500495289696,10287.008810046429,10702.38841604812,11117.511313540037,11512.467356199739,11866.144587538374,12169.836274075144,12458.652548323109,12788.529738943316,13132.419766865107
MT,13492.030557664113,13750.488687901736,14008.621928913104,14267.62720140768,14556.12191746883,14882.303136954692,15237.388412928383,15589.82679654027,15938.885192872178,16349.458219559498,16841.818863378074,17468.326795974237,18249.050670853816,19159.526854166765,20140.243604726445,21109.364884679533,22020.215679416455,22762.222592778904,23343.17771990196,23895.317541076085,24579.170101407435,25288.812639429987
NL,35337.97324676352,35647.82989904633,36030.01083184697,36557.18754183588,37218.82979258796,37931.257340984375,38535.777177092175,38883.09511642094,38958.9926261455,38937.55595481334,38901.83253078869,38896.86082966565,39015.386122112104,39315.455946049435,39780.656059861125,40348.899270562746,40941.99341559204,41494.72244909671,42000.75137872978,42534.589620288796,43279.426368974564,44140.91648074167
PL,6470.713706249944,6737.661918586726,7022.095937923516,7337.075664286452,7684.125647633896,8060.438331638387,8441.746056351036,8797.311028760807,9116.916086840507,9413.174303961214,9694.392179599527,9961.968324598249,10243.79860106426,10575.46393916872,10966.337492912511,11410.518186029523,11901.090943387637,12413.457780090002,12919.646160297756,13426.330303357643,13986.64104296877,14579.096364293013
