GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alabama,33966.55508970855,34536.36968637001,35104.5743968596,35738.15174003295,36537.49395871855,37502.29456130319,38515.50563350915,39326.6167170482,39760.04328017846,39803.16722997461,39554.74928787679,39216.56822999288,39001.22879743338,38923.508850468366,38930.16932940582,38977.962707375984,39051.819308327526,39194.73828433615,39418.553735609836,39701.23209304578,40018.36688265552,40357.38891903795,40745.1277907876,41256.6301684853,41804.03851818952
Alaska,65059.14463708778,64691.96819017564,64521.885449499896,64790.11882757172,65454.8787116653,66449.20189650144,67939.00220502392,69909.74262511902,72168.21212271815,74288.75548869741,75953.4884412168,77122.60628474575,77532.28840501409,77448.57829165805,76967.74363199789,76036.09735832113,75040.27614785719,74201.14652013965,73487.0155078746,72843.83494386531,72134.82821793808,71273.31154457096,70196.87297832101,69074.02015919848,67910.90746851875
Arizona,37959.23035172408,38984.6624404837,39934.493717692574,40823.82262403912,41740.73499515916,42709.077011221714,43617.87691154453,44319.09357492067,44601.6030028026,44351.37599558677,43594.2386775396,42607.795718495305,41848.558672716754,41450.945452270316,41359.22467923186,41490.02710329913,41816.55968588794,42340.64682901504,43048.74444022973,43886.512313643565,44763.74210025939,45629.16492462465,46496.40136992809,47441.84060804186,48393.38012412234
Arkansas,32346.13266736709,32950.93372873947,33532.61517658283,34172.674496738735,34955.693748227546,35836.11956103662,36671.60035783665,37278.54393688476,37525.62378195778,37414.1087256614,37091.12025425404,36761.42957178439,36625.136376872615,36689.27557726044,36887.46543481559,37159.250165685065,37428.71772560696,37671.86121346406,37913.35240800233,38202.22716068989,38576.43556171597,39052.25809800735,39659.91692049116,40419.17068779048,41229.04143560068
California,45358.07622971614,46830.61358946153,48169.6384065201,49267.99158551184,50296.1832209158,51394.98026395394,52561.087513336184,53692.10075551273,54600.45877093789,55112.73265944024,55213.90353867899,55080.23806219935,55065.33910590595,55347.95132379109,56024.709194037445,57107.036921469014,58546.596634585054,60263.807923746805,62154.37336394223,64151.81324995201,66148.85799170112,68075.08192486811,69976.63662884608,72049.33580936465,74096.2119658792
Colorado,49806.460530495984,50934.056640978684,51892.3683280548,52513.866383641645,52891.922937734314,53212.80287939305,53588.34012244278,54017.16344657027,54343.331484147784,54457.776154217536,54282.16181367673,53913.995512238966,53632.59507165837,53617.375589327625,53958.191704834935,54658.108490098675,55623.05903863095,56715.37027574479,57841.13537471842,59016.80116009359,60233.94124589456,61467.25088876977,62713.12760083978,64131.60831519695,65621.5857024865
Connecticut,58767.1624013348,60202.08435645087,61571.344828469446,62737.621657756776,63849.187052899935,65183.2979971807,66824.7436483159,68493.96199649754,69902.2798205868,70685.47982133774,70586.48231914041,69739.50073485478,68616.5686583065,67532.31903885261,66742.76325722304,66317.75515110155,66339.88338058666,66742.06231725379,67279.37468684865,67779.30662078687,68094.3445185672,68188.48365168282,68165.92153100426,68379.31701881925,68737.33270189508
Delaware,67977.27270773922,69466.9958564907,70651.71394982359,71309.10127139278,71418.58872592438,71287.79552602555,71017.74355702549,70511.19027663136,69876.60171116986,69173.70793007583,68570.530655837,68267.35581280003,68111.11412529027,68063.86548023648,67962.02013409194,67836.80800364705,67730.37189094804,67243.38797564978,66250.51599914396,65181.26280219651,64442.062833281125,64054.24869418438,63849.21315283671,63868.23575666835,63981.019277390165
Florida,37942.23306580495,38911.42737316663,39884.507052711124,40885.83167363991,41966.291764536174,43097.46086018413,44151.045614484654,44900.344443546404,45120.82397508344,44719.25555188919,43780.79332692346,42640.17878879736,41674.72919320846,41036.24116687509,40789.62367818011,40921.86773341579,41357.299484083705,41991.97972749916,42710.241343362424,43446.37050567486,44168.613656756395,44890.32384212522,45686.833738227,46686.38268054051,47748.961190705486
Georgia,45491.011585697546,46214.3304658518,46830.86975411662,47339.015905401364,47823.4153755775,48325.86539152356,48747.491139977334,48896.30025159984,48599.935615808914,47877.990495160586,46890.91166574799,45940.243212557194,45328.77231721789,45139.042658440245,45345.99398176289,45908.51557414331,46761.65273199536,47787.8420491792,48849.82978962289,49844.18007298937,50710.45146837788,51449.65519583998,52131.06197488081,52971.09645268972,53861.980078450455
